relation,domains,ranges
distributingCompany,set(),"{'http://dbpedia.org/ontology/LawFirm', 'http://dbpedia.org/ontology/Bank', 'http://dbpedia.org/ontology/Caterer', 'http://dbpedia.org/ontology/RecordLabel', 'http://dbpedia.org/ontology/PublicTransitSystem', 'http://dbpedia.org/ontology/Winery', 'http://dbpedia.org/ontology/Publisher', 'http://dbpedia.org/ontology/Brewery'}"
notableWork,set(),"{'http://dbpedia.org/ontology/CollectionOfValuables', 'http://dbpedia.org/ontology/TelevisionShow', 'http://dbpedia.org/ontology/LineOfFashion', 'http://dbpedia.org/ontology/TelevisionEpisode', 'http://dbpedia.org/ontology/Website', 'http://dbpedia.org/ontology/RadioProgram', 'http://dbpedia.org/ontology/WrittenWork', 'http://dbpedia.org/ontology/Document', 'http://dbpedia.org/ontology/Database', 'http://dbpedia.org/ontology/Software', 'http://dbpedia.org/ontology/MusicalWork', 'http://dbpedia.org/ontology/Film', 'http://dbpedia.org/ontology/TelevisionSeason', 'http://dbpedia.org/ontology/Artwork'}"
locatedInArea,"{'http://dbpedia.org/ontology/CountrySeat', 'http://dbpedia.org/ontology/Park', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/ProtectedArea', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/قبرستان', 'http://dbpedia.org/ontology/ConcentrationCamp', 'http://dbpedia.org/ontology/CelestialBody', 'http://dbpedia.org/ontology/SiteOfSpecialScientificInterest', 'http://dbpedia.org/ontology/WineRegion', 'http://dbpedia.org/ontology/Cemetery', 'http://dbpedia.org/ontology/Mine', 'http://dbpedia.org/ontology/HistoricPlace', 'http://dbpedia.org/ontology/Garden', 'http://dbpedia.org/ontology/WorldHeritageSite'}","{'http://dbpedia.org/ontology/CountrySeat', 'http://dbpedia.org/ontology/Park', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/ProtectedArea', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/قبرستان', 'http://dbpedia.org/ontology/ConcentrationCamp', 'http://dbpedia.org/ontology/CelestialBody', 'http://dbpedia.org/ontology/SiteOfSpecialScientificInterest', 'http://dbpedia.org/ontology/WineRegion', 'http://dbpedia.org/ontology/Cemetery', 'http://dbpedia.org/ontology/Mine', 'http://dbpedia.org/ontology/HistoricPlace', 'http://dbpedia.org/ontology/Garden', 'http://dbpedia.org/ontology/WorldHeritageSite'}"
author,"{'http://dbpedia.org/ontology/CollectionOfValuables', 'http://dbpedia.org/ontology/TelevisionShow', 'http://dbpedia.org/ontology/LineOfFashion', 'http://dbpedia.org/ontology/TelevisionEpisode', 'http://dbpedia.org/ontology/Website', 'http://dbpedia.org/ontology/RadioProgram', 'http://dbpedia.org/ontology/WrittenWork', 'http://dbpedia.org/ontology/Document', 'http://dbpedia.org/ontology/Database', 'http://dbpedia.org/ontology/Software', 'http://dbpedia.org/ontology/MusicalWork', 'http://dbpedia.org/ontology/Film', 'http://dbpedia.org/ontology/TelevisionSeason', 'http://dbpedia.org/ontology/Artwork'}","{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}"
breeder,"{'http://dbpedia.org/ontology/Reptile', 'http://dbpedia.org/ontology/Fish', 'http://dbpedia.org/ontology/Crustacean', 'http://dbpedia.org/ontology/Mammal', 'http://dbpedia.org/ontology/Bird', 'http://dbpedia.org/ontology/Mollusca', 'http://dbpedia.org/ontology/Arachnid', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Amphibian', 'http://dbpedia.org/ontology/Insect'}","{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}"
crosses,set(),set()
publisher,"{'http://dbpedia.org/ontology/CollectionOfValuables', 'http://dbpedia.org/ontology/TelevisionShow', 'http://dbpedia.org/ontology/LineOfFashion', 'http://dbpedia.org/ontology/TelevisionEpisode', 'http://dbpedia.org/ontology/Website', 'http://dbpedia.org/ontology/RadioProgram', 'http://dbpedia.org/ontology/WrittenWork', 'http://dbpedia.org/ontology/Document', 'http://dbpedia.org/ontology/Database', 'http://dbpedia.org/ontology/Software', 'http://dbpedia.org/ontology/MusicalWork', 'http://dbpedia.org/ontology/Film', 'http://dbpedia.org/ontology/TelevisionSeason', 'http://dbpedia.org/ontology/Artwork'}","{'http://dbpedia.org/ontology/Family', 'http://dbpedia.org/ontology/Employer', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Deity', 'http://dbpedia.org/ontology/FictionalCharacter'}"
country,set(),{'http://dbpedia.org/ontology/HistoricalCountry'}
creativeDirector,set(),"{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}"
sisterNewspaper,set(),set()
keyPerson,set(),"{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}"
parentMountainPeak,set(),set()
province,"{'http://dbpedia.org/ontology/CountrySeat', 'http://dbpedia.org/ontology/Park', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/ProtectedArea', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/قبرستان', 'http://dbpedia.org/ontology/ConcentrationCamp', 'http://dbpedia.org/ontology/CelestialBody', 'http://dbpedia.org/ontology/SiteOfSpecialScientificInterest', 'http://dbpedia.org/ontology/WineRegion', 'http://dbpedia.org/ontology/Cemetery', 'http://dbpedia.org/ontology/Mine', 'http://dbpedia.org/ontology/HistoricPlace', 'http://dbpedia.org/ontology/Garden', 'http://dbpedia.org/ontology/WorldHeritageSite'}",{'http://dbpedia.org/ontology/HistoricalProvince'}
genre,set(),"{'http://dbpedia.org/ontology/MovieGenre', 'http://dbpedia.org/ontology/ArtisticGenre', 'http://dbpedia.org/ontology/LiteraryGenre', 'http://dbpedia.org/ontology/MusicGenre'}"
season,"{'http://dbpedia.org/ontology/Family', 'http://dbpedia.org/ontology/Employer', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Deity', 'http://dbpedia.org/ontology/FictionalCharacter'}",set()
distributingLabel,set(),set()
veneratedIn,set(),"{'http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/MilitaryUnit', 'http://dbpedia.org/ontology/PoliticalParty', 'http://dbpedia.org/ontology/SportsClub', 'http://dbpedia.org/ontology/Non-ProfitOrganisation', 'http://dbpedia.org/ontology/EmployersOrganisation', 'http://dbpedia.org/ontology/GeopoliticalOrganisation', 'http://dbpedia.org/ontology/TermOfOffice', 'http://dbpedia.org/ontology/Parliament', 'http://dbpedia.org/ontology/TradeUnion', 'http://dbpedia.org/ontology/SambaSchool', 'http://dbpedia.org/ontology/InternationalOrganisation', 'http://dbpedia.org/ontology/Legislature', 'http://dbpedia.org/ontology/SportsLeague', 'http://dbpedia.org/ontology/EducationalInstitution', 'http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/SportsTeam', 'http://dbpedia.org/ontology/ReligiousOrganisation', 'http://dbpedia.org/ontology/Broadcaster', 'http://dbpedia.org/ontology/Group'}"
canton,"{'http://dbpedia.org/ontology/HistoricalSettlement', 'http://dbpedia.org/ontology/Town', 'http://dbpedia.org/ontology/City', 'http://dbpedia.org/ontology/CityDistrict', 'http://dbpedia.org/ontology/Village'}","{'http://dbpedia.org/ontology/HistoricalSettlement', 'http://dbpedia.org/ontology/Town', 'http://dbpedia.org/ontology/City', 'http://dbpedia.org/ontology/CityDistrict', 'http://dbpedia.org/ontology/Village'}"
hubAirport,set(),set()
programmeFormat,"{'http://dbpedia.org/ontology/BroadcastNetwork', 'http://dbpedia.org/ontology/TelevisionStation', 'http://dbpedia.org/ontology/RadioStation'}",set()
bodyStyle,set(),set()
automobilePlatform,set(),set()
canonizedPlace,set(),"{'http://dbpedia.org/ontology/State', 'http://dbpedia.org/ontology/Island', 'http://dbpedia.org/ontology/Continent', 'http://dbpedia.org/ontology/Street', 'http://dbpedia.org/ontology/Territory', 'http://dbpedia.org/ontology/Intercommunality', 'http://dbpedia.org/ontology/Community', 'http://dbpedia.org/ontology/GatedCommunity', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Agglomeration', 'http://dbpedia.org/ontology/Region', 'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Locality'}"
musicalBand,set(),set()
division,set(),set()
intercommunality,set(),"{'http://dbpedia.org/ontology/State', 'http://dbpedia.org/ontology/Island', 'http://dbpedia.org/ontology/Continent', 'http://dbpedia.org/ontology/Street', 'http://dbpedia.org/ontology/Territory', 'http://dbpedia.org/ontology/Intercommunality', 'http://dbpedia.org/ontology/Community', 'http://dbpedia.org/ontology/GatedCommunity', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Agglomeration', 'http://dbpedia.org/ontology/Region', 'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Locality'}"
saint,"{'http://dbpedia.org/ontology/State', 'http://dbpedia.org/ontology/Island', 'http://dbpedia.org/ontology/Continent', 'http://dbpedia.org/ontology/Street', 'http://dbpedia.org/ontology/Territory', 'http://dbpedia.org/ontology/Intercommunality', 'http://dbpedia.org/ontology/Community', 'http://dbpedia.org/ontology/GatedCommunity', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Agglomeration', 'http://dbpedia.org/ontology/Region', 'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Locality'}",set()
otherParty,set(),set()
parentCompany,set(),"{'http://dbpedia.org/ontology/LawFirm', 'http://dbpedia.org/ontology/Bank', 'http://dbpedia.org/ontology/Caterer', 'http://dbpedia.org/ontology/RecordLabel', 'http://dbpedia.org/ontology/PublicTransitSystem', 'http://dbpedia.org/ontology/Winery', 'http://dbpedia.org/ontology/Publisher', 'http://dbpedia.org/ontology/Brewery'}"
basedOn,"{'http://dbpedia.org/ontology/CollectionOfValuables', 'http://dbpedia.org/ontology/TelevisionShow', 'http://dbpedia.org/ontology/LineOfFashion', 'http://dbpedia.org/ontology/TelevisionEpisode', 'http://dbpedia.org/ontology/Website', 'http://dbpedia.org/ontology/RadioProgram', 'http://dbpedia.org/ontology/WrittenWork', 'http://dbpedia.org/ontology/Document', 'http://dbpedia.org/ontology/Database', 'http://dbpedia.org/ontology/Software', 'http://dbpedia.org/ontology/MusicalWork', 'http://dbpedia.org/ontology/Film', 'http://dbpedia.org/ontology/TelevisionSeason', 'http://dbpedia.org/ontology/Artwork'}","{'http://dbpedia.org/ontology/CollectionOfValuables', 'http://dbpedia.org/ontology/TelevisionShow', 'http://dbpedia.org/ontology/LineOfFashion', 'http://dbpedia.org/ontology/TelevisionEpisode', 'http://dbpedia.org/ontology/Website', 'http://dbpedia.org/ontology/RadioProgram', 'http://dbpedia.org/ontology/WrittenWork', 'http://dbpedia.org/ontology/Document', 'http://dbpedia.org/ontology/Database', 'http://dbpedia.org/ontology/Software', 'http://dbpedia.org/ontology/MusicalWork', 'http://dbpedia.org/ontology/Film', 'http://dbpedia.org/ontology/TelevisionSeason', 'http://dbpedia.org/ontology/Artwork'}"
openingTheme,set(),"{'http://dbpedia.org/ontology/CollectionOfValuables', 'http://dbpedia.org/ontology/TelevisionShow', 'http://dbpedia.org/ontology/LineOfFashion', 'http://dbpedia.org/ontology/TelevisionEpisode', 'http://dbpedia.org/ontology/Website', 'http://dbpedia.org/ontology/RadioProgram', 'http://dbpedia.org/ontology/WrittenWork', 'http://dbpedia.org/ontology/Document', 'http://dbpedia.org/ontology/Database', 'http://dbpedia.org/ontology/Software', 'http://dbpedia.org/ontology/MusicalWork', 'http://dbpedia.org/ontology/Film', 'http://dbpedia.org/ontology/TelevisionSeason', 'http://dbpedia.org/ontology/Artwork'}"
child,"{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}","{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}"
party,set(),set()
governingBody,"{'http://dbpedia.org/ontology/CountrySeat', 'http://dbpedia.org/ontology/Park', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/ProtectedArea', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/قبرستان', 'http://dbpedia.org/ontology/ConcentrationCamp', 'http://dbpedia.org/ontology/CelestialBody', 'http://dbpedia.org/ontology/SiteOfSpecialScientificInterest', 'http://dbpedia.org/ontology/WineRegion', 'http://dbpedia.org/ontology/Cemetery', 'http://dbpedia.org/ontology/Mine', 'http://dbpedia.org/ontology/HistoricPlace', 'http://dbpedia.org/ontology/Garden', 'http://dbpedia.org/ontology/WorldHeritageSite'}","{'http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/MilitaryUnit', 'http://dbpedia.org/ontology/PoliticalParty', 'http://dbpedia.org/ontology/SportsClub', 'http://dbpedia.org/ontology/Non-ProfitOrganisation', 'http://dbpedia.org/ontology/EmployersOrganisation', 'http://dbpedia.org/ontology/GeopoliticalOrganisation', 'http://dbpedia.org/ontology/TermOfOffice', 'http://dbpedia.org/ontology/Parliament', 'http://dbpedia.org/ontology/TradeUnion', 'http://dbpedia.org/ontology/SambaSchool', 'http://dbpedia.org/ontology/InternationalOrganisation', 'http://dbpedia.org/ontology/Legislature', 'http://dbpedia.org/ontology/SportsLeague', 'http://dbpedia.org/ontology/EducationalInstitution', 'http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/SportsTeam', 'http://dbpedia.org/ontology/ReligiousOrganisation', 'http://dbpedia.org/ontology/Broadcaster', 'http://dbpedia.org/ontology/Group'}"
